Allenbatrachus meridionalis
Allenbatrachus reticulatus
Allenichthys glauerti
Allips concolor
Alloblennius anuchalis
Alloblennius frondiculus
Alloblennius jugularis
Alloblennius parvus
Alloblennius pictus
Allocareproctus jordani
Allocareproctus kallaion
Allocareproctus tanix
Allocareproctus unangas
Allocareproctus ungak
Alloclinus holderi
Allocyttus folletti
Allocyttus guineensis
Allocyttus niger
Allocyttus verrucosus
Allodontichthys hubbsi
Allodontichthys polylepis
Allodontichthys tamazulae
Allodontichthys zonistius
Allomicrodesmus dorotheae
Allomogurnda flavimarginata
Allomogurnda hoesei
Allomogurnda insularis
Allomogurnda landfordorum
Allomogurnda montana
Allomogurnda multicincta
Allomogurnda nesolepis
Allomogurnda papua
Allomogurnda sampricei
Allomycterus pilatus
Alloophorus robustus
Allosmerus elongatus
Allothunnus fallai
Allotoca catarinae
Allotoca diazi
Allotoca dugesii
Allotoca goslinei
Allotoca maculata
Allotoca meeki
Allotoca regalis
Allotoca zacapuensis
Alopias pelagicus
Alopias superciliosus
Alopias vulpinus
Alosa aestivalis
Alosa agone
Alosa alabamae
Alosa algeriensis
Alosa alosa
Alosa braschnikowi
Alosa caspia
Alosa chrysochloris
Alosa curensis
Alosa fallax
Alosa immaculata
Alosa kessleri
Alosa killarnensis
Alosa macedonica
Alosa maeotica
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Alosa saposchnikowii
Alosa sphaerocephala
Alosa suworowi
Alosa tanaica
Alosa vistonica
Alosa volgensis
Alphestes afer
Alphestes immaculatus
Alphestes multiguttatus
Alticorpus geoffreyi
Alticorpus macrocleithrum
Alticorpus mentale
Alticorpus peterdaviesi
Alticorpus profundicola
Alticus anjouanae
Alticus arnoldorum
Alticus kirkii
Alticus magnusi
Alticus monochrus
Alticus montanoi
Alticus orientalis
Alticus saliens
Alticus sertatus
Alticus simplicirrus
Altolamprologus calvus
Altolamprologus compressiceps
Altrichthys azurelineatus
Altrichthys curatus
Aluterus heudelotii
Aluterus monoceros
Aluterus schoepfii
Aluterus scriptus
Amamiichthys matsubarai
Amanses scopas
Amaralia hypsiura
Amaralia oviraptor
Amarginops platus
Amarsipus carlsbergi
Amatitlania altoflava
Amatitlania coatepeque
Amatitlania kanna
Amatitlania myrnae
